2026-01-07 12:31:27 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:31:27 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:31:27 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:31:27 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:31:27 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:31:27 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:36:27 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:36:27 | INFO     | ITAM-Agent | CICLO #17 - 2026-01-07 12:36:27
2026-01-07 12:36:27 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:36:27 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:36:27 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:36:30 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:36:30 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:36:30 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:36:30 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:36:30 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:36:30 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:36:30 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:36:30 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:36:30 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:41:31 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:41:31 | INFO     | ITAM-Agent | CICLO #18 - 2026-01-07 12:41:31
2026-01-07 12:41:31 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:41:31 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:41:31 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
